isin,as_of,mix
INE040A08690,30/06/2026,"Insurance 45%, PF/Pension 36%, Trusts 13%, Banks 4.2%, MF 1.7%, Corporates 0.8%, others 0.1%"
INE040A08724,30/06/2026,"Govt 28%, Insurance 25%, MF 18%, PF/Pension 13%, Trusts 11%, Corporates 4.5%, others 0.3%"
INE040A08732,30/06/2026,"Insurance 36%, PF/Pension 26%, Trusts 23%, Corporates 13%, MF 1.5%, Individuals 0.4%, others 0.2%"
INE040A08773,30/06/2026,"Insurance 48%, PF/Pension 20%, Trusts 18%, Corporates 6.4%, MF 5.9%, Individuals 0.7%, others 1%"
INE040A08807,30/06/2026,"Insurance 73%, PF/Pension 12%, Trusts 7.3%, Corporates 3.3%, MF 2%, Individuals 1.4%, others 0.6%"
INE040A08815,30/06/2026,"Insurance 46%, PF/Pension 35%, Trusts 17%, Corporates 1.9%, Govt 0.4%, Individuals 0.2%"
INE040A08823,30/06/2026,"Corporates 36%, Insurance 24%, Banks 21%, PF/Pension 10%, Trusts 6.4%, MF 2.1%, others 1%"
INE040A08831,30/06/2026,"Insurance 43%, Trusts 25%, PF/Pension 23%, Corporates 5.5%, Govt 1.6%, MF 1.3%, others 0.6%"
INE040A08864,30/06/2026,"Insurance 51%, PF/Pension 29%, Trusts 11%, MF 6%, Corporates 2.6%, Banks 0.3%, others 0.3%"
INE040A08872,30/06/2026,"Insurance 86%, MF 12%, Corporates 2%"
INE040A08914,30/06/2026,"Govt 35%, Insurance 33%, PF/Pension 10%, Corporates 9.2%, Trusts 7.3%, MF 4.4%, others 1.1%"
INE040A08930,30/06/2026,"Insurance 65%, PF/Pension 30%, Trusts 2.9%, MF 1.4%, Corporates 0.9%"
INE040A08955,30/06/2026,"Corporates 29%, MF 25%, Insurance 21%, Banks 12%, Trusts 7.8%, Individuals 2.5%, others 2.3%"
INE040A08AB1,30/06/2026,"Govt 56%, Insurance 19%, Trusts 11%, PF/Pension 5.2%, MF 4.5%, Corporates 3.8%, others 0.6%"
INE040A08AC9,30/06/2026,"Insurance 87%, PF/Pension 6.6%, Trusts 4.5%, MF 1.8%, Corporates 0.3%, Individuals 0.2%"
INE040A08AF2,30/06/2026,"Insurance 61%, PF/Pension 17%, Corporates 7.2%, MF 6.4%, Trusts 4.5%, Banks 2.3%, others 2.4%"
INE040A08AI6,30/06/2026,"PF/Pension 64%, MF 11%, Insurance 10%, Trusts 7%, FPI 4.2%, Corporates 1.8%, others 1.9%"
INE040A08AJ4,30/06/2026,"Insurance 92%, PF/Pension 3.7%, Corporates 2.7%, MF 0.7%, Trusts 0.7%, FPI 0.3%"
INE040A08AK2,30/06/2026,"Insurance 73%, PF/Pension 20%, Corporates 3.4%, MF 2.9%"
INE041007068,30/06/2026,"MF 68%, Insurance 32%"
INE041007084,30/06/2026,"MF 56%, Insurance 29%, Corporates 15%"
INE041007092,30/06/2026,"MF 65%, Insurance 25%, Corporates 10%"
INE041007142,30/06/2026,"MF 99%, Insurance 0.6%"
INE041007159,30/06/2026,"Insurance 40%, MF 32%, PF/Pension 28%"
INE041007167,30/06/2026,"MF 97%, Insurance 3.3%"
INE041007175,30/06/2026,MF 100%
INE041007183,30/06/2026,MF 100%
INE041007191,30/06/2026,"Insurance 53%, MF 32%, PF/Pension 16%"
INE041007217,30/06/2026,"MF 93%, PF/Pension 7.1%"
INE046W07289,30/06/2026,"Individuals 88%, AIF 10%, Corporates 1.8%"
INE046W07305,30/06/2026,"Corporates 56%, Individuals 40%, Clearing members 3.6%"
INE046W07321,30/06/2026,"Individuals 85%, Corporates 13%, NRIs 1.5%"
INE046W07339,30/06/2026,"Individuals 89%, AIF 10%, Corporates 0.9%"
INE046W07362,30/06/2026,"Trusts 40%, MF 30%, Corporates 30%"
INE047A08190,30/06/2026,"Banks 30%, PF/Pension 26%, Insurance 20%, MF 18%, Trusts 6%"
INE047A08208,30/06/2026,"Banks 50%, PF/Pension 22%, MF 16%, Insurance 11%"
INE04HY07278,30/06/2026,"Individuals 90%, Corporates 8.2%, NRIs 1.9%, Trusts 0.1%"
INE04HY07286,30/06/2026,"Corporates 80%, Individuals 20%"
INE04HY07294,30/06/2026,"Individuals 57%, Banks 25%, Corporates 17%, NRIs 0.8%"
INE04HY07344,30/06/2026,"Corporates 68%, Individuals 30%, Clearing members 2%, NRIs 0.3%"
INE04HY07377,30/06/2026,"Individuals 80%, Corporates 19%, Banks 0.5%, NRIs 0.4%, NBFC 0.1%, Clearing members 0.1%"
INE04HY07401,30/06/2026,"Individuals 56%, Corporates 24%, Clearing members 20%, NRIs 0.2%"
INE04HY08011,30/06/2026,"Individuals 43%, NRIs 30%, Corporates 27%"
INE04K307016,30/06/2026,Corporates 100%
INE04MH07034,30/06/2026,MF 100%
INE04MH07059,30/06/2026,MF 100%
INE04Q907199,30/06/2026,"Corporates 56%, Individuals 25%, AIF 18%"
INE04UP07170,30/06/2026,"Individuals 73%, Corporates 25%, AIF 1.7%, NRIs 0.3%"
INE04UP07188,30/06/2026,Corporates 100%
